Date,Post link,View,Post Hour,Bank,Time of day
Apr 23 at 17:23,https://t.me/tikvahethiopia/4295054430,293217,,BOA,
Apr 19 at 20:11,https://t.me/tikvahethiopia/4295054314,292276,,BOA,
Apr 16 at 11:12,https://t.me/tikvahethiopia/4295054246,295272,,BOA,
Apr 2 at 14:13,https://t.me/tikvahethiopia/4295053851,284381,,BOA,
Mar 29 at 14:47,https://t.me/tikvahethiopia/4295053767,276917,,BOA,
Mar 26 at 20:41,https://t.me/tikvahethiopia/4295053631,238434,,BOA,
Mar 22 at 11:49,https://t.me/tikvahethiopia/4295053496,287719,,BOA,
Mar 19 at 20:45,https://t.me/tikvahethiopia/4295053443,326763,,BOA,
Mar 15 at 13:36,https://t.me/tikvahethiopia/4295053290,267848,,BOA,
Mar 2 at 09:25,https://t.me/tikvahethiopia/4295052919,211299,,BOA,
Feb 23 at 23:13,https://t.me/tikvahethiopia/4295052703,233638,,BOA,
Feb 20 at 11:39,https://t.me/tikvahethiopia/4295052602,251728,,BOA,
Feb 16 at 14:14,https://t.me/tikvahethiopia/4295052501,260385,,BOA,
Feb 6 at 17:39,https://t.me/tikvahethiopia/4295052230,225266,,BOA,
Jun 6, 2022 at 16:21,https://t.me/tikvahethiopia/4295038149,208646,,BOA,
